target,location,location_name,truth_date,year_week,value,source,file_kind,snapshot_date,file_path
ARI incidence,BE,Belgium,2016-01-31,2016-W04,2281.0,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-02-07,2016-W05,2272.9,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-02-14,2016-W06,2019.6,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-02-21,2016-W07,2131.9,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-02-28,2016-W08,2128.6,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-03-06,2016-W09,2163.7,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-03-13,2016-W10,2323.4,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-03-20,2016-W11,2079.9,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-03-27,2016-W12,1839.9,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-04-03,2016-W13,1347.8,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-04-10,2016-W14,1313.1,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-04-17,2016-W15,1202.8,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-04-24,2016-W16,1124.3,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-05-01,2016-W17,1262.0,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-05-08,2016-W18,983.1,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-05-15,2016-W19,1198.7,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-05-22,2016-W20,1015.1,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-05-29,2016-W21,1110.6,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-06-05,2016-W22,1155.7,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-06-12,2016-W23,1132.1,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-06-19,2016-W24,1138.9,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-06-26,2016-W25,1071.5,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-07-03,2016-W26,1054.3,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-07-10,2016-W27,1064.8,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-07-17,2016-W28,981.2,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-07-24,2016-W29,692.3,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-07-31,2016-W30,823.5,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-08-07,2016-W31,729.5,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-08-14,2016-W32,631.3,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-08-21,2016-W33,535.8,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-08-28,2016-W34,626.8,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-09-04,2016-W35,659.9,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-09-11,2016-W36,886.0,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-09-18,2016-W37,1029.7,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-09-25,2016-W38,1147.5,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-10-02,2016-W39,1409.7,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-10-09,2016-W40,1657.2,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-10-16,2016-W41,1881.4,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
